player,season_span,squad,league,nation,pos,mp,starts,min,90s,ga,ga90,sota,saves,save_pct,w,d,l,cs,cs_pct,pk_att,pk_a,pk_sv,pk_m,pk_save_pct,gls,ast,ppm,on_g,on_ga,plus_minus,plus_minus_per90,fbref_id
Elene Lete,2025-26,Lionesses,WSL,ESP,GK,22,22,1980,22.0,35,1.59,82,47,57.3,8,3,11,3,13.6,6,5,1,0,16.7,0,0,1.23,28,35,-7,-0.32,f80fa3e9
Mary Earps,2025-26,Paris S-G,Première Ligue,ENG,GK,21,21,1890,21.0,17,0.81,54,37,68.5,14,2,5,9,42.9,1,1,0,0,0.0,0,1,2.10,52,17,35,1.67,ca2eabf4
