player,season_span,squad,league,nation,pos,mp,starts,min,90s,gls,ast,g_plus_a,gls90,ast90,g_plus_a90,sh,sot,sot_pct,sh_per90,sot_per90,crdy,crdr,fls,fld,crs,int,tklw,ppm,on_g,on_ga,plus_minus,plus_minus_per90,on_off,fbref_id
Wassa Sangare,2025-26,Lionesses,WSL,FRA,DF,18,17,1483,16.5,0,2,2,0.00,0.12,0.12,11,2,18.2,0.67,0.12,5,0,12,8,1,17,21,1.17,18,23,-5,-0.30,0.06,4151e701
Mapi León,2025-26,Barcelona,Liga F,ESP,DF,19,13,1103,12.3,2,7,9,0.16,0.57,0.73,7,3,42.9,0.57,0.24,2,0,5,3,40,3,3,2.84,63,5,58,4.73,1.18,d41a5309
