player,span,nation,pos,squad,mp,starts,min,90s,ga,ga90,sota,saves,save_pct,w,d,l,cs,cs_pct,pk_att,pk_a,pk_sv,pk_m,pk_save_pct,ppm,on_g,on_ga,plus_minus,plus_minus_per90,fld,og,crd_r,fbref_id
Elene Lete,Career,ESP,GK,Lionesses,22,22,1980,22.0,35,1.59,82,47,57.3,8,3,11,3,13.6,6,5,1,0,16.7,1.23,28,35,-7,-0.32,1,0,0,f80fa3e9
Mary Earps,Career,ENG,GK,4 squads,170,169,15247,169.4,129,0.83,323,226,70.0,102,28,39,74,43.8,9,8,1,0,11.1,1.98,371,166,+205,+1.21,13,1,1,ca2eabf4
