player,span,squad,nation,pos,mp,starts,min,90s,gls,ast,g_plus_a,gls90,ast90,g_plus_a90,sh,sot,sot_pct,sh_per90,sot_per90,crdy,crdr,fls,fld,crs,int,tklw,ppm,on_g,on_ga,plus_minus,plus_minus_per90,on_off,fbref_id
Wassa Sangare,Career,3 squads,FRA,DF,30,24,2238,24.9,0,2,2,0.00,0.08,0.08,14,2,14.3,0.61,0.09,7,0,16,15,1,23,33,1.27,26,33,-7,-0.28,-1.47,4151e701
Mapi León,Career,Barcelona,ESP,DF,19,13,1103,12.3,2,7,9,0.16,0.57,0.73,7,3,42.9,0.57,0.24,2,0,5,3,40,3,3,2.84,63,5,58,4.73,1.18,d41a5309
