rk,player,nation,pos,squad,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,a-xag,kp,1/3,ppa,crspa,matches,player_id_
6,Kosovare Asllani,se SWE,"MF,FW",Lionesses,36,1989,16.2,,,,,,,,,,,,,,,4,,,,,,Matches,1d994521
36,Cerys Brown,eng ENG,DF,Lionesses,20,2005,0.8,,,,,,,,,,,,,,,0,,,,,,Matches,fae2b11b
45,Delphine Cascarino,fr FRA,"MF,FW",Lionesses,28,1997,3.2,,,,,,,,,,,,,,,1,,,,,,Matches,9d82fe8e
58,Lucía Corrales,es ESP,"MF,DF",Lionesses,19,2005,13.3,,,,,,,,,,,,,,,1,,,,,,Matches,9cb573ce
68,Daniëlle van de Donk,nl NED,MF,Lionesses,33,1991,2.8,,,,,,,,,,,,,,,0,,,,,,Matches,6876815f
77,Jana Fernández,es ESP,DF,Lionesses,23,2002,21.1,,,,,,,,,,,,,,,0,,,,,,Matches,7ee6662f
82,Sanni Franssi,fi FIN,FW,Lionesses,30,1995,4.7,,,,,,,,,,,,,,,0,,,,,,Matches,eb7a2b29
90,Grace Geyoro,fr FRA,MF,Lionesses,28,1997,15.1,,,,,,,,,,,,,,,0,,,,,,Matches,80fc50e5
92,Freya Godfrey,eng ENG,MF,Lionesses,20,2005,13.3,,,,,,,,,,,,,,,4,,,,,,Matches,36d3689e
93,Teyah Goldie,eng ENG,DF,Lionesses,21,2004,1.1,,,,,,,,,,,,,,,0,,,,,,Matches,ba0058a5
94,Isobel Goodwin,eng ENG,FW,Lionesses,22,2002,18.4,,,,,,,,,,,,,,,1,,,,,,Matches,a13ec7c6
126,Rofiat Imuran,ng NGA,"DF,MF",Lionesses,21,2004,7.8,,,,,,,,,,,,,,,0,,,,,,Matches,95218f3f
128,Sofia Jakobsson,se SWE,"FW,MF",Lionesses,35,1990,0.3,,,,,,,,,,,,,,,0,,,,,,Matches,27a4ff80
138,Isa Kardinaal,nl NED,DF,Lionesses,20,2005,3.3,,,,,,,,,,,,,,,0,,,,,,Matches,2ae44ac8
144,Alanna Kennedy,au AUS,"DF,MF",Lionesses,30,1995,8.3,,,,,,,,,,,,,,,0,,,,,,Matches,8252bc62
156,Saki Kumagai,jp JPN,"MF,DF",Lionesses,34,1990,17.0,,,,,,,,,,,,,,,1,,,,,,Matches,03622b6e
164,Elene Lete,es ESP,GK,Lionesses,23,2002,22.0,,,,,,,,,,,,,,,0,,,,,,Matches,f80fa3e9
165,Elena Linari,it ITA,DF,Lionesses,31,1994,14.3,,,,,,,,,,,,,,,0,,,,,,Matches,8302c1bb
166,Lotta Lindström,fi FIN,FW,Lionesses,20,2004,1.4,,,,,,,,,,,,,,,0,,,,,,Matches,850525a6
219,Nikita Parris,eng ENG,"MF,FW",Lionesses,31,1994,13.5,,,,,,,,,,,,,,,3,,,,,,Matches,fa5faf19
222,Poppy Pattinson,eng ENG,DF,Lionesses,25,2000,8.2,,,,,,,,,,,,,,,0,,,,,,Matches,eced0e75
228,María Pérez,es ESP,MF,Lionesses,23,2001,5.8,,,,,,,,,,,,,,,1,,,,,,Matches,b592c4bb
240,Julia Roddar,se SWE,"MF,DF",Lionesses,33,1992,7.6,,,,,,,,,,,,,,,0,,,,,,Matches,917838ed
251,Malou Rylov,dk DEN,MF,Lionesses,22,2003,4.3,,,,,,,,,,,,,,,0,,,,,,Matches,d9248446
255,Wassa Sangare,fr FRA,DF,Lionesses,19,2006,16.5,,,,,,,,,,,,,,,2,,,,,,Matches,4151e701
312,Katie Zelem,eng ENG,MF,Lionesses,29,1996,1.7,,,,,,,,,,,,,,,0,,,,,,Matches,213a7877
